-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.370,  0.313
-183.783, 80.156, 0.549,  0.346
-183.774, 80.134, 0.675,  0.379
-183.763, 80.106, 0.843,  0.412
-183.750, 80.073, 1.029,  0.445
-183.735, 80.034, 1.205,  0.478
-183.718, 79.989, 1.386,  0.511
-183.699, 79.940, 1.540,  0.544
-183.680, 79.887, 1.612,  0.577
-183.661, 79.836, 1.601,  0.610
-183.643, 79.785, 1.591,  0.643
-183.624, 79.735, 1.593,  0.676
-183.606, 79.685, 1.579,  0.709
-183.588, 79.635, 1.558,  0.742
-183.570, 79.587, 1.535,  0.775
-183.553, 79.539, 1.514,  0.808
-183.535, 79.492, 1.498,  0.841
-183.518, 79.445, 1.489,  0.874
-183.501, 79.398, 1.488,  0.907
-183.483, 79.351, 1.495,  0.940
-183.466, 79.304, 1.507,  0.973
-183.448, 79.256, 1.521,  1.006
-183.431, 79.207, 1.536,  1.039
-183.413, 79.159, 1.549,  1.072
-183.395, 79.109, 1.559,  1.105
-183.377, 79.060, 1.567,  1.138
-183.359, 79.010, 1.572,  1.171
-183.341, 78.961, 1.575,  1.204
-183.323, 78.911, 1.578,  1.237
-183.305, 78.861, 1.580,  1.270
-183.288, 78.811, 1.583,  1.303
-183.270, 78.761, 1.587,  1.336
-183.252, 78.711, 1.592,  1.369
-183.234, 78.661, 1.597,  1.402
-183.217, 78.610, 1.603,  1.435
-183.199, 78.560, 1.609,  1.468
-183.182, 78.509, 1.616,  1.501
-183.164, 78.457, 1.622,  1.534
-183.146, 78.406, 1.628,  1.567
-183.129, 78.354, 1.633,  1.600
-183.111, 78.303, 1.639,  1.633
-183.094, 78.251, 1.644,  1.666
-183.076, 78.198, 1.650,  1.699
-183.059, 78.146, 1.655,  1.732
