t,x,y,yaw_meas,v_meas,ekf_yaw_pre,ekf_yaw_post,ekf_yaw_rate,ekf_v,cte_init,epsi_init,prev_delta,chosen_delta,best_cost
0.016000000000000014,-183.8002166748047,80.20003509521484,-1.57079672626906,0.0,0.0,-1.0800012765819287,-0.01570545438998822,-0.78539836313453,2.168937477549587,0.4941241422310587,0.0,0.03370210793282629,672.8250765652932
0.04900000000000038,-183.8002166748047,80.20003509521484,-1.57079672626906,4.905018158751773e-06,0.0,-1.0802566231676523,-0.032494838466569954,-0.7853959106254507,2.169235821078403,0.4938687956453478,0.03370210793282629,0.08979149551848467,672.5583215279686
0.08199999999999985,-183.8002166748047,80.20003509521484,-1.57079672626906,7.331503638852155e-06,0.0,-1.0802566231676523,-0.0326936973124307,-0.78539714989179,2.169235821078403,0.4938687956453478,0.08979149551848467,0.1500985803302567,672.1563028031492
0.11500000000000021,-183.8002471923828,80.20030212402344,-1.570810175232565,-0.012521305121481419,0.0,-1.0802658721886478,-0.032905066440193885,-0.7916694059288426,2.1691477482639194,0.49385954662436404,0.1500985803302567,0.19401224284705304,672.3711247060584
0.1479999999999997,-183.8001251220703,80.19880676269531,-1.5706997872053812,0.0342244915664196,0.0,-1.0801899569569124,-0.03308599052889114,-0.7619769952587401,2.1696559311282586,0.4939354618560734,0.19401224284705304,0.23721556189744392,670.2574871479808
0.18100000000000005,-183.80001831054688,80.19747924804688,-1.570604579196411,0.03288479894399643,0.0,-1.0801244812142219,-0.033220286028888935,-0.7859721359094171,2.170110847961178,0.4940009375988055,0.23721556189744392,0.309255185048654,671.5001064762388
0.2140000000000004,-183.79983520507812,80.1960678100586,-1.5705262822603625,0.03957466781139374,0.0,-1.0800706354286242,-0.03349204569628244,-0.7819182066964826,2.170551723450681,0.4940547833843776,0.309255185048654,0.418705872915361,670.6260430702678
0.2469999999999999,-183.7992706298828,80.19243621826172,-1.5695642153165714,0.12189819663763046,0.0,-1.079409009916818,-0.03397105319990252,-0.7436203432451673,2.166272096783845,0.49471640889619994,0.418705872915361,0.49046252527178485,667.5295558291285
0.28000000000000025,-183.7978515625,80.18488311767578,-1.5680179839876713,0.2345896065235138,0.0,-1.0783456472257327,-0.03428040311162397,-0.727663287050894,2.167345636858424,0.49577977158727515,0.49046252527178485,0.5852637979168398,665.7692893647205
0.3129999999999997,-183.79495239257812,80.17314910888672,-1.5664810737225867,0.3610573410987854,0.0,-1.0772886947472184,-0.03470480892824416,-0.7200066695736576,2.1596312005155154,0.4968367240629421,0.5852637979168398,0.628647937323926,663.7103166707939
0.3460000000000001,-183.79039001464844,80.1573257446289,-1.5633892768550592,0.4819454550743103,0.0,-1.0751624272373743,-0.03484156075446037,-0.7212505814397672,2.1558794233936416,0.4989629915756404,0.628647937323926,0.7132833974549685,661.4659289852443
0.37899999999999956,-183.7843475341797,80.13792419433594,-1.5591536522993428,0.5863996148109436,0.0,-1.072249535070587,-0.035158124894966815,-0.7273497462813547,2.1468530049799024,0.5018758837424211,0.7132833974549685,0.8658945736606043,658.4026709791056
0.4119999999999999,-183.77490234375,80.11245727539062,-1.5521970760578923,0.7814933061599731,0.0,-1.0674654102798213,-0.03611188821486675,-0.6785516923544314,2.130728559308769,0.506660008533169,0.8658945736606043,0.9983202758525279,649.6503793923187
0.4450000000000003,-183.76304626464844,80.08477783203125,-1.5433208933027125,0.8374041318893433,0.0,-1.0613611479972636,-0.03649564206689859,-0.7437050337866712,2.1119581594741934,0.5127642708157354,0.9983202758525279,1.1367878615412128,644.6355680856739
0.47799999999999976,-183.74940490722656,80.05696868896484,-1.5334472235612437,0.8495509028434753,0.0,-1.0545709013951294,-0.03731070012015957,-0.7606502263035558,2.0957830130827455,0.5195545174150067,1.1367878615412128,1.22,638.1229940983877
0.5110000000000001,-183.7333526611328,80.02960968017578,-1.522009878785735,0.853402853012085,0.0,-1.0467052958469556,-0.03788485764144961,-0.7590789643085627,2.0710892481127523,0.5274201229660189,1.22,1.22,630.9062216440957
0.5439999999999996,-183.7147674560547,80.00209045410156,-1.5087926102956717,0.8799726963043213,0.0,-1.0376156144210913,-0.03765300036056026,-0.7411113835017177,2.042771121993179,0.5365098043919052,1.22,1.22,622.3033936213632
0.577,-183.693603515625,79.9737548828125,-1.4939968862275186,0.9257057905197144,0.0,-1.0274404092835392,-0.03736669351918859,-0.7241318960060628,2.0113013707644645,0.5466850095294635,1.22,1.22,612.5826624300424
0.6100000000000003,-183.67027282714844,79.9442138671875,-1.477881565839231,0.9690437316894531,0.0,-1.016357701194845,-0.03695550957247028,-0.7172718123347461,1.9774886779459158,0.5577677176181677,1.22,1.22,602.4101822923901
0.6429999999999998,-183.6454315185547,79.91374969482422,-1.461196994767939,1.0166842937469482,0.0,-1.0048835122669852,-0.03655875889987795,-0.706778216355222,1.9424320634710106,0.5692419065460217,1.22,1.22,591.5401410479806
0.6760000000000002,-183.6188201904297,79.88251495361328,-1.4436444994973905,1.0520657300949097,0.0,-0.9928124409742883,-0.036069702480526426,-0.7041315315747145,1.9056277503682921,0.5813129778387376,1.22,1.22,580.2299121644274
0.7089999999999996,-183.59083557128906,79.85074615478516,-1.4256111704920278,1.0885331630706787,0.0,-0.9804106942873858,-0.03562566043354311,-0.6945718687581294,1.8676654187164814,0.5937147245256154,1.22,1.22,568.2352852356249
0.742,-183.5614013671875,79.81861877441406,-1.4070521334874837,1.1165263652801514,0.0,-0.967647411611472,-0.03512772055046275,-0.6895294656390055,1.828394874250942,0.606478007201535,1.22,1.22,555.9181797413231
